,spkts,dpkts,sttl,dttl,smean,dmean,label
7767,2,0,254,0,100,0,1
682,66,66,31,29,59,785,0
1043,40,42,31,29,64,551,0
13634,10,8,254,252,56,44,1
1528,16,18,31,29,96,91,0
2944,16,18,31,29,96,91,0
5175,2,0,254,0,100,0,1
16821,28,42,62,252,51,549,1
11318,2,0,254,0,100,0,1
542,16,18,31,29,96,91,0
7947,2,0,254,0,1003,0,1
7235,24,22,62,252,53,76,1
4612,4,4,31,29,132,76,0
1930,8,10,31,29,132,82,0
634,16,18,31,29,96,91,0
9448,2,0,254,0,100,0,1
16829,26,60,62,252,47,968,1
17604,2,0,254,0,1267,0,0
2953,16,18,31,29,96,91,0
8235,140,26,254,252,1264,43,1
2606,106,114,31,29,89,108,0
14422,2,0,254,0,100,0,1
4287,48,50,31,29,62,610,0
3442,16,18,31,29,96,91,0
10232,10,8,254,252,56,44,1
13251,2,0,254,0,100,0,1
1867,16,18,31,29,96,91,0
15826,10,6,254,252,77,45,1
17443,14,10,254,252,55,56,1
7354,8,8,62,252,46,180,1
7730,58,14,254,252,1174,44,1
4613,68,70,31,29,59,849,0
4718,2,2,31,29,73,89,0
1714,52,42,31,29,718,80,0
8979,14,12,254,252,68,52,1
16120,10,8,254,252,169,44,1
16576,8,8,62,252,46,232,1
3162,16,18,31,29,96,91,0
7205,2,0,254,0,100,0,1
200,12,18,31,29,132,565,0
16253,16,6,254,252,702,45,1
1842,78,80,31,29,58,910,0
189,4,0,254,0,145,0,0
18576,10,8,254,252,56,44,1
7517,10,6,254,252,88,45,1
2957,16,18,31,29,96,91,0
2357,2,2,31,29,73,89,0
1456,16,18,31,29,96,91,0
9698,18,14,254,252,496,509,1
2160,16,18,31,29,96,91,0
10057,2,0,254,0,100,0,1
6464,2,0,254,0,100,0,1
9470,2,0,254,0,100,0,1
6812,22,22,62,252,54,74,1
2788,2,2,31,29,66,82,0
1912,2,2,31,29,73,89,0
2772,52,40,31,29,716,82,0
14795,2,0,254,0,100,0,1
1556,16,18,31,29,80,143,0
18927,10,6,254,252,252,45,1
18041,202,0,254,0,272,0,1
3359,40,42,31,29,64,551,0
11272,2,0,254,0,100,0,1
10408,2,0,254,0,285,0,1
63,10,8,254,252,94,44,0
863,14,18,31,29,120,565,0
3735,2,2,31,29,73,89,0
4084,14,18,31,29,120,565,0
1919,122,126,31,29,64,115,0
6255,2,0,254,0,158,0,1
4588,16,18,31,29,96,91,0
723,4,4,31,29,142,76,0
654,16,18,31,29,96,91,0
18660,10,8,254,252,56,44,1
10971,2,0,254,0,100,0,1
1849,16,18,31,29,96,91,0
12966,2,0,254,0,100,0,1
8981,48,210,62,252,45,1208,1
2129,62,58,31,29,96,138,0
4380,38,40,31,29,64,482,0
3941,2,2,31,29,65,81,0
13377,38,146,62,252,46,1164,1
8144,10,6,254,252,77,45,1
4218,4,4,31,29,142,78,0
4199,4,4,31,29,132,76,0
4267,2,2,31,29,73,89,0
2331,2,2,31,29,73,89,0
4407,16,18,31,29,96,91,0
9611,2,0,254,0,52,0,1
1281,40,42,31,29,64,551,0
4076,16,18,31,29,96,91,0
17909,10,6,254,252,93,45,1
14699,2,0,254,0,100,0,1
13025,12,10,254,252,88,81,1
2445,12,12,31,29,89,188,0
12169,2,0,254,0,100,0,1
7530,10,8,254,252,55,44,1
18553,10,8,62,252,79,302,1
4693,14,6,31,29,638,53,0
12598,2,0,254,0,100,0,1
2284,64,66,31,29,59,785,0
15995,10,6,254,252,53,45,1
19919,10,8,254,252,76,44,0
10782,10,10,62,252,93,113,1
5558,2,0,254,0,100,0,1
4718,2,2,31,29,73,89,0
12285,2,0,254,0,100,0,1
13216,2,0,254,0,84,0,1
1805,2,2,31,29,66,82,0
16496,10,8,254,252,56,44,1
14297,2,0,254,0,100,0,1
6560,10,6,254,252,243,45,1
1847,16,18,31,29,96,91,0
552,16,18,31,29,96,91,0
2105,16,18,31,29,96,91,0
3177,16,18,31,29,96,91,0
15335,10,6,254,252,53,45,1
211,2,2,31,29,65,81,0
4140,66,64,31,29,59,808,0
13507,2,0,254,0,100,0,1
13504,2,0,254,0,100,0,1
3471,78,80,31,29,58,910,0
1040,40,42,31,29,64,551,0
17529,2,0,254,0,84,0,1
778,2,2,31,29,73,89,0
13403,20,0,254,0,52,0,1
19162,24,20,62,252,243,89,1
5318,2,0,254,0,100,0,1
1425,66,66,31,29,59,785,0
6591,2,0,254,0,100,0,1
6103,10,6,254,252,101,45,1
19371,10,10,62,252,76,422,1
15912,12,8,254,252,391,44,1
14638,2,0,254,0,100,0,1
9631,2,0,254,0,100,0,1
1959,16,18,31,29,96,91,0
5314,2,0,254,0,100,0,1
17937,10,8,254,252,53,44,0
17599,196,0,254,0,272,0,1
18191,10,8,254,252,53,44,0
2087,16,18,31,29,96,91,0
380,8,10,31,29,132,82,0
14158,4,0,254,0,90,0,1
9016,10,8,62,252,78,204,1
5302,2,0,254,0,100,0,1
3860,52,40,31,29,716,82,0
283,2,2,31,29,66,82,0
4289,64,66,31,29,59,785,0
5446,2,0,254,0,90,0,1
5503,10,6,254,252,53,45,1
18053,14,12,254,252,55,54,1
17957,10,6,254,252,53,45,0
6629,14,12,254,252,147,57,1
1046,28,30,31,29,166,103,0
9688,2,0,254,0,100,0,1
19274,2,0,254,0,84,0,1
12560,10,8,254,252,56,44,1
9002,2,0,254,0,100,0,1
2541,2,2,31,29,73,89,0
18076,10,8,254,252,289,44,1
2048,16,18,31,29,96,91,0
11047,2,0,254,0,100,0,1
3348,2,2,31,29,73,89,0
2995,16,18,31,29,96,91,0
17011,28,28,254,252,214,121,1
1036,30,42,31,29,77,819,0
2978,8,10,31,29,132,82,0
14877,2,0,254,0,100,0,1
18921,4,0,254,0,272,0,1
11874,2,0,254,0,100,0,1
13815,2,0,254,0,100,0,1
10225,1268,200,62,252,1289,47,1
9302,2,0,254,0,100,0,1
17637,10,12,62,252,104,539,1
18809,26,48,62,252,48,536,1
3512,28,42,31,29,79,819,0
1943,16,18,31,29,96,91,0
834,16,18,31,29,96,91,0
8186,12,10,254,252,83,81,1
15940,8,6,62,252,46,45,1
15203,22,20,254,252,222,90,1
3560,14,18,31,29,120,565,0
13836,42,0,254,0,64,0,1
3073,2,2,31,29,66,82,0
17941,10,6,254,252,53,45,0
1268,38,40,31,29,64,463,0
3956,16,18,31,29,96,91,0
2849,8,10,31,29,132,82,0
4714,28,28,31,29,152,106,0
3335,6,8,31,29,53,228,0
6765,2,0,254,0,100,0,1
1404,2,2,31,29,66,82,0
12517,2,0,254,0,452,0,1
3028,38,40,31,29,64,463,0
1393,52,42,31,29,716,80,0
1224,16,18,31,29,96,91,0
1370,52,42,31,29,716,80,0
4257,16,18,31,29,96,91,0
5020,28,30,31,29,152,103,0
6338,10,6,254,252,252,45,1
12422,2,0,254,0,100,0,1
1848,16,18,31,29,96,91,0
2075,8,10,31,29,132,82,0
2233,30,42,31,29,77,819,0
16896,10,8,254,252,56,44,1
2896,78,80,31,29,58,910,0
7846,12,8,254,252,88,94,1
12438,2,0,254,0,100,0,1
3380,16,18,31,29,96,91,0
6148,10,6,254,252,104,45,1
16460,10,6,254,252,103,45,1
17888,34,24,62,252,717,81,1
12846,10,6,254,252,64,45,1
19738,10,8,62,252,279,44,1
14760,2,0,254,0,100,0,1
11871,2,0,254,0,100,0,1
10999,2,0,254,0,100,0,1
17755,10,8,254,252,76,44,1
4513,12,12,31,29,89,188,0
9635,2,0,254,0,100,0,1
17437,10,8,254,252,95,44,1
6485,14,14,254,252,57,55,1
6345,10,6,254,252,53,45,1
7004,2,0,254,0,39,0,1
6142,10,12,62,252,79,361,1
6630,10,10,62,252,85,228,1
7362,2,0,254,0,100,0,1
1248,28,30,31,29,166,103,0
5028,2,2,31,29,73,89,0
1199,16,18,31,29,96,91,0
3409,2,2,31,29,66,82,0
18324,10,10,62,252,82,286,1
1403,16,18,31,29,96,91,0
1288,16,18,31,29,96,91,0
1209,30,42,31,29,77,819,0
12872,2,0,254,0,100,0,1
315,2,2,31,29,73,89,0
1892,22,24,31,29,87,180,0
17631,72,28,62,252,969,70,1
5449,2,0,254,0,90,0,1
4191,52,42,31,29,718,80,0
1574,40,40,31,29,64,463,0
15876,10,6,254,252,124,45,1
3995,16,18,31,29,96,91,0
5211,2,0,254,0,100,0,1
3722,62,58,31,29,96,138,0
1854,52,40,31,29,718,82,0
1820,16,18,31,29,96,91,0
4125,4,4,31,29,130,76,0
15297,24,22,62,252,53,76,1
10533,10,8,254,252,56,44,1
1680,122,126,31,29,64,120,0
4165,16,18,31,29,96,91,0
7301,12,10,254,252,177,81,1
3852,4,4,31,29,132,76,0
3151,16,18,31,29,96,91,0
17396,10,8,254,252,76,44,1
16158,8,8,62,252,46,107,1
9548,10,8,254,252,56,44,1
3677,64,66,31,29,59,785,0
4907,16,18,31,29,96,91,0
10901,14,12,254,252,67,57,1
68,12,24,62,252,72,954,0
4517,28,30,31,29,166,103,0
2778,22,24,31,29,87,180,0
15873,14,12,254,252,56,57,1
14404,2,0,254,0,100,0,1
491,16,18,31,29,96,91,0
6678,2,0,254,0,100,0,1
10436,2,0,254,0,90,0,1
3500,4,4,31,29,130,76,0
13278,12,8,254,252,83,91,1
8712,2,0,254,0,52,0,1
3833,64,66,31,29,59,785,0
3947,4,4,31,29,132,76,0
9350,2,0,254,0,52,0,1
3375,12,18,31,29,132,565,0
19639,2,0,254,0,417,0,1
11405,2,0,254,0,100,0,1
8529,2,0,254,0,90,0,1
3967,38,40,31,29,64,482,0
3226,16,18,31,29,96,91,0
8746,10,8,254,252,79,44,1
16524,12,8,254,252,110,91,1
11140,4,0,254,0,90,0,1
1994,16,18,31,29,96,91,0
88,2,0,254,0,116,0,0
19790,10,10,62,252,81,378,1
10848,2,0,254,0,100,0,1
18217,10,8,254,252,53,44,0
13997,2,0,254,0,100,0,1
11024,2,0,254,0,100,0,1
18301,196,0,254,0,272,0,1
1945,16,18,31,29,96,91,0
8332,2,0,254,0,84,0,1
1528,16,18,31,29,96,91,0
19917,10,6,254,252,53,45,0
12199,2,0,254,0,100,0,1
10774,24,20,62,252,221,88,1
16467,12,10,254,252,75,46,1
12112,2,0,254,0,100,0,1
12534,2,0,254,0,319,0,1
4994,6,8,31,29,53,228,0
15100,2,0,254,0,100,0,1
4441,16,18,31,29,96,91,0
10167,10,6,254,252,95,45,1
10037,22,20,62,252,201,86,1
134,2,0,254,0,851,0,0
16065,12,6,254,252,148,45,1
3330,10,12,31,29,53,735,0
11312,66,16,254,252,1174,44,1
18687,64,14,254,252,1181,44,1
848,64,66,31,29,59,785,0
7976,10,8,254,252,84,44,1
293,2,2,31,29,66,82,0
8677,12,12,62,252,98,427,1
4742,2,2,31,29,65,81,0
11748,2,0,254,0,100,0,1
4392,38,40,31,29,64,482,0
5962,28,22,62,252,411,89,1
18380,12,8,254,252,89,93,1
14918,22,22,62,252,53,74,1
4168,450,858,31,29,56,1276,0
3751,4,4,31,29,132,76,0
4872,22,14,31,29,67,123,0
10249,2,0,254,0,100,0,1
13018,2,0,254,0,100,0,1
2042,16,18,31,29,96,91,0
1442,16,18,31,29,96,91,0
16613,2,0,254,0,84,0,1
5542,24,18,254,252,83,87,1
7888,2,0,254,0,100,0,1
14164,4,0,254,0,90,0,1
12085,2,0,254,0,100,0,1
554,24,24,31,29,84,180,0
1914,16,18,31,29,96,91,0
17238,2,0,254,0,84,0,1
9606,2,0,254,0,52,0,1
1179,30,42,31,29,77,819,0
3176,16,18,31,29,96,91,0
3706,2,2,31,29,65,81,0
10278,2,0,254,0,100,0,1
6476,2,0,254,0,100,0,1
16090,2,0,254,0,52,0,1
645,4,4,31,29,142,78,0
14666,10,8,62,252,84,173,1
3185,26,42,31,29,81,819,0
1008,78,80,31,29,58,910,0
10314,2,0,254,0,677,0,1
4780,2,2,31,29,73,89,0
17213,2,0,254,0,52,0,1
18720,10,8,254,252,98,44,1
2948,16,18,31,29,96,91,0
3389,2,2,31,29,66,82,0
4202,40,42,31,29,64,551,0
392,30,42,31,29,77,819,0
2364,12,12,31,29,89,188,0
12006,2,0,254,0,100,0,1
13219,2,0,254,0,532,0,1
4427,16,18,31,29,96,91,0
2488,16,18,31,29,96,91,0
3846,14,18,31,29,120,565,0
2436,2,2,31,29,73,89,0
10097,2,0,254,0,100,0,1
453,16,18,31,29,96,91,0
19800,52,12,254,252,1154,44,1
10606,2,0,254,0,100,0,1
396,2,2,31,29,73,89,0
5926,10,6,254,252,57,45,1
14866,10,6,254,252,89,45,1
17564,10,8,254,252,56,44,1
2071,40,42,31,29,64,551,0
3189,106,114,31,29,89,108,0
6600,30,14,254,252,843,55,1
3904,64,66,31,29,59,785,0
8710,22,0,254,0,108,0,1
10552,2,0,254,0,100,0,1
4677,16,18,31,29,96,91,0
11970,2,0,254,0,100,0,1
7587,40,22,62,252,778,82,1
344,2,2,31,29,73,89,0
15337,28,28,254,252,181,123,1
6522,12,8,254,252,89,88,1
18692,20,24,62,252,47,294,1
7758,2,0,254,0,100,0,1
14323,10,10,62,252,79,425,1
10741,14,16,254,252,56,56,1
3440,2,2,31,29,66,82,0
18585,12,8,254,252,85,96,1
4873,12,18,31,29,132,565,0
7907,14,12,254,252,57,57,1
4774,78,80,31,29,58,910,0
439,8,10,31,29,132,82,0
1076,4,4,31,29,142,78,0
11413,2,0,254,0,100,0,1
3776,16,18,31,29,96,91,0
18952,10,18,62,252,45,987,1
6882,158,42,62,252,1175,62,1
3841,8,10,31,29,132,82,0
5305,12,8,254,252,94,92,1
17705,2,0,254,0,84,0,1
8053,10,14,62,252,80,757,1
16960,10,6,254,252,53,45,1
4042,90,92,31,29,57,911,0
4503,4,4,31,29,132,76,0
17940,10,8,254,252,53,44,0
16976,2,0,254,0,52,0,1
5728,20,14,254,252,50,44,1
6489,2,0,254,0,52,0,1
4830,4,4,31,29,132,76,0
3260,16,18,31,29,96,91,0
19446,2,0,254,0,78,0,1
9143,24,10,254,252,967,44,1
14350,2,0,254,0,100,0,1
7370,2,0,254,0,100,0,1
1232,22,24,31,29,87,180,0
306,2,2,31,29,66,82,0
13638,12,10,254,252,82,84,1
10422,10,6,254,252,51,45,1
19048,10,6,254,252,252,45,1
4133,4,4,31,29,142,76,0
9336,10,6,254,252,49,45,1
4819,28,30,31,29,166,103,0
15300,10,6,254,252,53,45,1
346,16,18,31,29,96,91,0
12370,2,0,254,0,100,0,1
571,16,18,31,29,96,91,0
15006,2,0,254,0,100,0,1
11142,2,0,254,0,100,0,1
1231,24,24,31,29,84,180,0
8843,2,0,254,0,100,0,1
13437,20,12,254,252,60,45,1
8325,142,0,254,0,136,0,1
6772,2,0,254,0,100,0,1
467,28,42,31,29,79,819,0
4508,16,18,31,29,96,91,0
2780,16,18,31,29,96,91,0
4007,2,2,31,29,66,82,0
19972,2,0,254,0,84,0,1
19126,10,8,254,252,56,44,1
2841,2,2,31,29,66,82,0
1640,122,126,31,29,64,120,0
6088,80,0,254,0,108,0,1
378,30,42,31,29,77,819,0
16212,12,8,254,252,72,59,1
3345,16,18,31,29,96,91,0
8952,10,6,254,252,55,45,1
13103,2,0,254,0,100,0,1
12110,2,0,254,0,100,0,1
894,62,58,31,29,96,138,0
1085,16,18,31,29,96,91,0
3707,40,42,31,29,64,551,0
3146,8,10,31,29,132,82,0
13132,2,0,254,0,100,0,1
19612,2,0,254,0,52,0,1
16920,10,12,62,252,85,330,1
12894,10,8,62,252,82,150,1
2429,16,18,31,29,96,91,0
268,2,2,31,29,66,82,0
184,2,0,254,0,980,0,0
7432,2,0,254,0,188,0,1
19640,10,6,254,252,79,45,1
12591,2,0,254,0,100,0,1
13601,2,0,254,0,84,0,1
17034,12,8,254,252,99,91,1
2674,2,2,31,29,73,89,0
18885,10,6,254,252,71,45,1
1672,16,18,31,29,96,91,0
11218,2,0,254,0,100,0,1
360,16,18,31,29,96,91,0
12309,2,0,254,0,100,0,1
3918,24,24,31,29,84,180,0
17978,14,28,62,252,134,872,1
1271,16,18,31,29,96,91,0
5810,14,10,254,252,368,85,1
1821,8,10,31,29,132,82,0
3589,16,18,31,29,96,91,0
10280,2,0,254,0,100,0,1
5773,28,0,254,0,108,0,1
7931,2,0,254,0,84,0,1
19521,10,6,254,252,53,45,1
12651,2,0,254,0,100,0,1
2699,16,18,31,29,96,91,0
10751,2,0,254,0,100,0,1
15167,10,8,254,252,59,44,1
2075,8,10,31,29,132,82,0
15623,2,0,254,0,84,0,1
988,30,42,31,29,77,819,0
5618,2,0,254,0,100,0,1
1309,16,18,31,29,96,91,0
14405,2,0,254,0,100,0,1
2710,8,10,31,29,132,82,0
4307,2,2,31,29,73,89,0
15604,10,8,254,252,97,44,1
7860,12,8,254,252,85,90,1
15774,10,6,254,252,49,45,1
2425,38,40,31,29,64,463,0
9481,2,0,254,0,100,0,1
10760,2,0,254,0,84,0,1
13118,10,8,254,252,56,44,1
8828,2,0,254,0,100,0,1
2759,64,66,31,29,59,785,0
11559,2,0,254,0,100,0,1
4256,26,28,31,29,160,106,0
13400,10,6,254,252,55,45,1
18648,10,10,62,252,81,409,1
11463,2,0,254,0,100,0,1
11174,42,146,62,252,49,1184,1
9237,2,0,254,0,262,0,1
2654,2,2,31,29,66,82,0
12769,2,0,254,0,39,0,1
4956,16,18,31,29,96,91,0
14661,2,0,254,0,100,0,1
4353,2,2,31,29,65,81,0
11261,2,0,254,0,100,0,1
2849,8,10,31,29,132,82,0
242,64,66,31,29,59,785,0
53,2,2,0,0,28,46,0
6510,10,6,254,252,90,45,1
15016,2,0,254,0,100,0,1
8684,10,8,254,252,81,44,1
972,16,18,31,29,96,91,0
754,28,42,31,29,79,819,0
3027,62,58,31,29,96,138,0
6881,2,0,254,0,100,0,1
4600,14,6,31,29,638,53,0
4526,78,82,31,29,58,889,0
17820,2,0,254,0,84,0,1
15545,98,616,62,252,47,1301,1
4934,68,70,31,29,59,849,0
5502,2,0,254,0,84,0,1
11196,2,0,254,0,100,0,1
11472,12,8,254,252,99,140,1
18428,2,0,254,0,884,0,1
17669,212,48,62,252,1196,60,1
12461,2,0,254,0,100,0,1
17802,38,198,62,252,53,1274,1
8282,10,8,254,252,57,44,1
18579,4,2,254,60,126,184,1
19781,10,8,254,252,56,44,1
17389,10,8,254,252,76,44,1
3253,16,18,31,29,96,91,0
4571,6,8,31,29,53,228,0
3190,16,18,31,29,96,91,0
16451,12,8,254,252,479,44,1
13583,12,12,254,252,53,57,1
16262,2,0,254,0,84,0,1
9028,10,8,254,252,56,44,1
5088,16,18,31,29,96,91,0
5840,10,6,254,252,252,45,1
1711,64,66,31,29,59,785,0
1559,52,42,31,29,716,80,0
4441,16,18,31,29,96,91,0
16918,10,6,254,252,53,45,1
6276,10,8,62,252,241,44,1
14702,2,0,254,0,100,0,1
829,16,18,31,29,96,91,0
14106,2,0,254,0,100,0,1
1747,22,26,31,29,87,170,0
3896,4,4,31,29,132,76,0
12834,22,22,62,252,53,75,1
16187,20,20,62,252,48,167,1
18880,10,6,254,252,82,45,1
18397,10,8,254,252,76,44,1
18447,10,8,254,252,53,44,1
13845,2,0,254,0,100,0,1
1919,122,126,31,29,64,115,0
5214,10,6,254,252,59,45,1
948,4,4,31,29,132,76,0
1637,64,66,31,29,59,785,0
11703,2,0,254,0,52,0,1
13966,2,0,254,0,100,0,1
7490,2,0,254,0,100,0,1
18929,14,8,254,252,312,330,1
16284,34,10,254,252,1006,44,1
10028,2,0,254,0,100,0,1
6054,10,8,254,252,95,44,1
13139,2,0,254,0,100,0,1
4259,14,18,31,29,120,565,0
13789,56,26,62,252,909,75,1
1596,66,68,31,29,59,763,0
18734,14,10,254,252,288,55,1
7852,2,0,254,0,100,0,1
2245,16,18,31,29,96,91,0
3771,16,18,31,29,96,91,0
2718,16,18,31,29,96,91,0
15227,10,8,254,252,232,44,1
18790,10,8,254,252,64,44,1
5598,2,0,254,0,52,0,1
423,80,80,31,29,58,910,0
4338,4,4,31,29,132,76,0
4493,2,2,31,29,73,89,0
2089,8,10,31,29,132,82,0
103,14,18,31,29,120,565,0
15068,2,0,254,0,52,0,1
14028,2,0,254,0,100,0,1
3893,16,18,31,29,96,91,0
13021,2,0,254,0,100,0,1
3505,52,42,31,29,718,80,0
4098,30,42,31,29,77,819,0
10110,20,22,62,252,55,74,1
13511,2,0,254,0,100,0,1
11897,2,0,254,0,100,0,1
17922,2,0,254,0,974,0,0
1262,6,8,31,29,53,233,0
10300,10,8,254,252,252,44,1
12583,24,22,62,252,53,74,1
6950,2,0,254,0,100,0,1
12402,2,0,254,0,100,0,1
2295,16,18,31,29,96,91,0
4542,38,40,31,29,64,482,0
17315,10,8,254,252,56,44,1
14264,2,0,254,0,100,0,1
2478,22,24,31,29,87,180,0
14035,2,0,254,0,100,0,1
1092,66,68,31,29,59,763,0
11858,2,0,254,0,100,0,1
2852,16,18,31,29,96,91,0
11892,2,0,254,0,100,0,1
1090,16,18,31,29,96,91,0
3470,2,2,31,29,73,89,0
63,10,8,254,252,94,44,0
16095,10,8,254,252,53,44,1
7813,26,112,62,252,57,1279,1
4438,4,4,31,29,142,78,0
824,16,18,31,29,96,91,0
1862,14,6,31,29,638,53,0
19881,2,0,254,0,100,0,1
17816,12,8,254,252,89,91,1
8715,246,52,62,252,1225,62,1
3902,18,20,31,29,230,128,0
4936,90,92,31,29,57,911,0
1420,16,18,31,29,96,91,0
11138,4,0,254,0,90,0,1
9681,2,0,254,0,100,0,1
4645,16,18,31,29,96,91,0
6654,2,0,254,0,100,0,1
305,2,2,31,29,73,89,0
5890,2,0,254,0,100,0,1
647,16,18,31,29,96,91,0
12318,2,0,254,0,100,0,1
59,2,0,254,0,84,0,0
2581,16,18,31,29,96,91,0
7385,2,0,254,0,100,0,1
6627,2,0,254,0,978,0,1
17071,10,8,254,252,56,44,1
1529,16,18,31,29,96,91,0
2982,2,2,31,29,66,82,0
15435,10,8,254,252,56,44,1
1801,2,2,31,29,65,81,0
8045,2,0,254,0,38,0,1
14079,2,2,254,60,38,63,1
4882,38,40,31,29,64,482,0
3515,16,18,31,29,96,91,0
19984,230,54,62,252,1246,58,1
4874,8,10,31,29,132,82,0
3867,2,2,31,29,66,82,0
4923,2,2,31,29,73,89,0
11342,2,0,254,0,100,0,1
8593,10,6,254,252,100,45,1
19894,10,6,254,252,53,45,0
11408,2,0,254,0,100,0,1
2897,2,2,31,29,73,89,0
1369,30,42,31,29,77,819,0
16753,82,0,254,0,64,0,1
1955,78,80,31,29,58,910,0
4832,52,42,31,29,719,80,0
16534,10,6,254,252,290,45,1
18285,10,8,62,252,86,160,1
11799,2,0,254,0,100,0,1
15869,22,34,62,252,48,702,1
13351,10,6,254,252,57,45,1
12007,2,0,254,0,100,0,1
7440,10,6,254,252,73,45,1
19859,2,0,254,0,84,0,1
6813,10,10,62,252,79,425,1
314,12,18,31,29,132,565,0
10947,10,8,254,252,56,44,1
3843,16,18,31,29,96,91,0
1266,2,2,31,29,66,82,0
1920,16,18,31,29,96,91,0
15152,2,2,62,252,72,243,1
4116,64,66,31,29,59,785,0
1454,16,18,31,29,96,91,0
9824,2,0,254,0,52,0,1
1342,16,18,31,29,96,91,0
8639,2,0,254,0,90,0,1
468,16,18,31,29,96,91,0
6980,20,38,62,252,55,821,1
16584,10,8,62,252,165,315,1
12867,2,0,254,0,100,0,1
18351,22,22,62,252,54,74,1
18083,598,114,62,252,1335,51,1
4233,12,12,31,29,89,188,0
9337,2,0,254,0,100,0,1
3098,64,66,31,29,59,785,0
19924,10,8,254,252,53,44,0
1595,66,66,31,29,59,785,0
3666,52,42,31,29,718,80,0
211,2,2,31,29,65,81,0
17264,12,8,254,252,319,44,1
660,14,18,31,29,120,565,0
18859,10,8,254,252,76,44,1
9853,160,40,62,252,1180,67,1
17174,2,0,254,0,84,0,1
18598,10,8,62,252,84,156,1
6292,60,16,254,252,1137,44,1
5248,12,10,254,252,152,186,1
7407,2,0,254,0,84,0,1
8496,2,0,254,0,100,0,1
11711,2,0,254,0,100,0,1
13192,12,10,254,252,88,80,1
13309,2,0,254,0,100,0,1
15276,10,8,254,252,129,44,1
6069,3,0,254,0,1009,0,1
2815,16,18,31,29,96,91,0
16257,10,8,254,252,56,44,1
466,8,10,31,29,132,82,0
11872,2,0,254,0,100,0,1
12477,2,0,254,0,100,0,1
3700,4,4,31,29,130,76,0
17450,10,6,254,252,59,45,0
6975,40,38,254,252,203,120,1
766,16,18,31,29,96,91,0
2103,16,18,31,29,96,91,0
931,16,18,31,29,96,91,0
1324,30,42,31,29,77,819,0
12848,2,0,254,0,100,0,1
19840,20,8,254,252,864,44,1
11565,2,0,254,0,100,0,1
14182,2,0,254,0,100,0,1
9608,22,0,254,0,108,0,1
9683,12,6,254,252,305,45,1
13525,10,6,254,252,93,45,1
13340,10,6,254,252,161,45,1
18123,10,6,254,252,252,45,1
8242,194,44,254,252,1201,61,1
6836,10,8,254,252,53,44,1
19638,10,8,254,252,56,44,1
14791,10,8,254,252,56,44,1
17260,10,6,254,252,94,45,1
10227,2,0,254,0,100,0,1
767,16,18,31,29,96,91,0
7660,10,8,254,252,92,44,1
10483,2,0,254,0,100,0,1
431,8,10,31,29,132,82,0
2753,16,18,31,29,96,91,0
6443,2,0,254,0,100,0,1
6009,22,22,254,60,134,111,1
17751,12,8,254,252,49,44,1
3969,4,4,31,29,142,78,0
8027,10,6,254,252,99,45,1
9814,2,0,254,0,100,0,1
4336,12,18,31,29,132,565,0
11135,2,0,254,0,100,0,1
8913,2,0,254,0,52,0,1
14445,10,6,254,252,146,45,1
3949,16,18,31,29,96,91,0
2831,16,18,31,29,96,91,0
15013,2,0,254,0,100,0,1
3016,78,80,31,29,58,910,0
14767,42,0,254,0,440,0,1
1135,16,18,31,29,96,91,0
15812,10,10,254,252,84,103,1
6575,2,0,254,0,100,0,1
401,40,42,31,29,64,551,0
8410,10,12,62,252,76,359,1
3663,16,18,31,29,96,91,0
14410,2,0,254,0,100,0,1
7008,2,0,254,0,100,0,1
18161,10,6,254,252,252,45,1
15797,2,0,254,0,52,0,1
15816,10,8,254,252,85,44,1
16084,24,20,62,252,376,92,1
18636,10,6,254,252,99,45,1
158,2,0,254,0,1090,0,0
4525,64,66,31,29,59,785,0
6213,2,0,254,0,100,0,1
1168,16,18,31,29,96,91,0
246,4,4,31,29,132,76,0
1262,6,8,31,29,53,233,0
15175,10,6,254,252,153,45,1
13739,8,10,62,252,46,375,1
10,12,6,254,252,345,45,0
9030,20,22,62,252,56,74,1
1539,80,80,31,29,58,910,0
14919,2,0,254,0,100,0,1
3731,14,18,31,29,120,565,0
12255,2,0,254,0,100,0,1
9549,2,0,254,0,100,0,1
3024,16,18,31,29,96,91,0
3040,8,10,31,29,132,82,0
17528,120,34,62,252,1106,71,1
4078,6,0,1,0,64,0,0
15238,10,10,254,252,61,65,1
1076,4,4,31,29,142,78,0
6044,4,2,254,60,182,192,1
18189,10,6,254,252,53,45,0
4027,2,2,31,29,73,89,0
15622,2,0,254,0,84,0,1
10138,2,0,254,0,100,0,1
13660,10,8,62,252,78,161,1
14585,2,0,254,0,100,0,1
14376,2,0,254,0,100,0,1
799,16,18,31,29,96,91,0
15772,10,6,254,252,53,45,1
17852,24,22,62,252,54,73,1
4450,40,42,31,29,64,551,0
2033,12,12,31,29,89,188,0
10788,2,0,254,0,100,0,1
18031,2,0,254,0,84,0,1
16845,16,10,254,252,166,256,1
8669,10,6,254,252,159,45,1
3131,4,4,31,29,142,76,0
13109,12,10,254,252,89,81,1
19703,10,6,254,252,59,45,1
4949,16,18,31,29,96,91,0
6536,10,6,254,252,90,45,1
14930,2,0,254,0,52,0,1
3127,2,2,31,29,66,82,0
5634,24,64,62,252,52,1022,1
666,16,18,31,29,96,91,0
4889,52,54,31,29,56,69,0
3579,8,10,31,29,132,82,0
